EmployeeID,first_name,last_name,location,Disability,Ethnicity
1,Aharon,Oldred,Washington,Yes,Other
2,Sharon,Castillo,Washington,Yes,Asian
3,Amalie,Farahar,Maryland,Yes,Black
4,Hayden,Lidgey,Ohio,Yes,Black
5,Libbie,Stourton,New Jersey,Yes,Other
6,Kendrick,Persian,Ohio,Yes,Hispanic and Latino
7,Rhodie,Goodred,Alabama,Yes,Hispanic and Latino
8,Aloin,Heynel,Florida,No,Asian
9,Viviana,Dodgson,New Jersey,Yes,Asian
10,Kendell,Penrice,Florida,Yes,Black
11,Joline,Dovington,Washington,No,Other
12,Margeaux,Taggert,Florida,No,Other
13,Cara,Spottiswoode,Maryland,Yes,White
14,Kassie,MacCathay,Maryland,No,Asian
15,Krissy,Devonish,Alabama,Yes,Hispanic and Latino
16,Nikoletta,Abreheart,Ohio,Yes,Hispanic and Latino
17,Lavina,Petkov,Washington,Yes,Black
18,Nealson,Moan,Maryland,Yes,Asian
19,Amalle,Kubes,New Jersey,Yes,Asian
20,Eryn,Mawhinney,Maryland,No,Black
21,Seth,Plevin,Maryland,No,Hispanic and Latino
22,Linell,Syder,Alabama,No,Black
23,Ilsa,Perkis,Maryland,Yes,Hispanic and Latino
24,Ursala,Buddock,Washington,No,Black
25,Barb,Pleasance,Alabama,No,Asian
26,Chicky,Peers,Maryland,No,Other
27,Marcille,Plet,Maryland,Yes,Asian
28,Ella,Jeune,New Jersey,No,Asian
29,Peta,Clamp,Washington,Yes,Black
30,Wolfy,McMennum,Ohio,Yes,Other
31,Goober,McQuillin,Washington,No,White
32,John,Twopenny,New Jersey,No,Black
33,Athena,Itzkov,Washington,Yes,Hispanic and Latino
34,Arie,Routham,Alabama,No,Hispanic and Latino
35,Thomasina,O'Neal,Alabama,Yes,Asian
36,Rolland,Reeds,Florida,Yes,Black
37,Hermione,De Haven,Ohio,Yes,White
38,Elfreda,Ribeiro,Maryland,No,Other
39,Susanetta,Claworth,Maryland,No,White
40,Alfred,Matis,Washington,No,Hispanic and Latino
41,Arlene,Turnock,Florida,Yes,Asian
42,Benji,Alentyev,Florida,Yes,White
43,Alex,Acreman,New Jersey,Yes,Asian
44,Dale,Eastcourt,Ohio,No,Asian
